-72,118,6285986842816126458,082259467843261318,good
-193,1,786864510225301167,53696684562121602270,bad
133,49,41168486242589526421,4112870881966486,bad
-26,7,4220393476054403851,7026012411366343640,bad
101,-37,13489267505555475059,86991058312657543,bad
-30,58,1866604664826342119,1222448726443874325,good
-162,115,77681786442656674666,66515868466913177,bad
34,-22,25607426788273231931,65222977817613118728,bad
89,-83,23124732786685151760,186013874751315689,bad
6,-53,7489285160257428766,36601143883850794542,bad
29,8,20401077168048538049,2737323460184555815,good
-9,4,52232514676559865760,7966395729776562362,bad
-9,15,3750349147836726565,6447914459684835263,bad
-45,-51,82819152545469282083,4115239462171911635,bad
-81,-109,44478691377037291126,2133793083749892176,bad
-95,-78,3313582679337113567,6672569119268250387,good
-75,-59,21508137401131848839,105640856585802829,bad
-29,-105,32289130365628375871,3518196921678794272,bad
55,15,44241612126538448423,77103068606792143334,bad
33,-41,63794469806667322540,2241315559181783362,bad
60,-67,29201444592479776441,114076836451675124,good
69,-50,5464326964129025371,286001690536847765,bad
-76,-256,8824704271843706016,6885387594253428,bad
103,-62,17743273786149118034,915780411271173763,bad
-55,63,7933661541332436917,15701185266638582216,bad
36,-26,5552756665437484418,6527491511186503639,good
-91,-99,1458453906418548583,27141377444228531660,bad
57,228,3971642883583842875,316141371891165149,bad
5,-186,86196237642782863846,32501087535754709086,bad
-1,102,886119121622402163,76446937525253854643,bad
